
20260705 02.07.34 E Start    ID0:0.0  TaskService
20260705 02.07.37 T Running  ID131    APP Stop AI Worker
20260705 02.07.37 A OK       ID131.1  APP Stop AI Worker.Profile Status
20260705 02.07.37 A OK       ID131.2  APP Stop AI Worker.Profile Status
20260705 02.07.37 A OK       ID131.3  APP Stop AI Worker.Profile Status
20260705 02.07.37 A OK       ID131.4  APP Stop AI Worker.Profile Status
20260705 02.07.37 T Running  ID74:2   FINAL AI Worker Off
20260705 02.07.37 A OK       ID131.5  APP Stop AI Worker.Perform Task, FINAL AI Worker Off
20260705 02.07.37 A OK       ID74:2.1 FINAL AI Worker Off.Var Set, %AIWorkerOn=0
20260705 02.07.38 A OK       ID74:2.2 FINAL AI Worker Off.Var Set, %AIWorkerBusy=0
20260705 02.07.38 A OK       ID74:2.3 FINAL AI Worker Off.Var Set, %processing=0
20260705 02.07.38 A OK       ID74:2.4 FINAL AI Worker Off.Var Set, %sending=0
20260705 02.07.38 A OK       ID74:2.5 FINAL AI Worker Off.Var Set, %archiving=0
20260705 02.07.38 A OK       ID74:2.6 FINAL AI Worker Off.Var Set, %retrying=0
20260705 02.07.38 A OK       ID74:2.7 FINAL AI Worker Off.Var Set, %compacting=0
20260705 02.07.38 A OK       ID74:2.8 FINAL AI Worker Off.Var Set, %AIWorkerKickPending=0
20260705 02.07.38 A OK       ID74:2.9 FINAL AI Worker Off.Var Set, %AIWProcessing=0
20260705 02.07.38 A OK       ID74:2.10 FINAL AI Worker Off.Var Set, %AIWSending=0
20260705 02.07.38 A OK       ID74:2.11 FINAL AI Worker Off.Var Set, %AIWArchiving=0
20260705 02.07.38 A OK       ID74:2.12 FINAL AI Worker Off.Var Set, %AIWRetrying=0
20260705 02.07.38 A OK       ID74:2.13 FINAL AI Worker Off.Var Set, %AIWCompacting=0
20260705 02.07.38 A OK       ID74:2.14 FINAL AI Worker Off.Var Set, %AIWDeadArchiving=0
20260705 02.07.38 A OK       ID74:2.15 FINAL AI Worker Off.Var Set, %AIWWatchdogging=0
20260705 02.07.38 A OK       ID74:2.16 FINAL AI Worker Off.Var Set, %AIWorkerLastError=Worker Stopped
20260705 02.07.38 A OK       ID74:2.17 FINAL AI Worker Off.Flash, FINAL AI Worker Off
20260705 02.07.38 A OK       ID74:2.18 FINAL AI Worker Off.Var Set, %AIWAutoLive=0
20260705 02.07.38 A OK       ID74:2.19 FINAL AI Worker Off.Var Set, %AIWAutoLiveMode=OFF
20260705 02.07.38 A OK       ID74:2.20 FINAL AI Worker Off.Var Set, %AIWAutoLiveLastStopSource=FINAL_AI_WORKER_OFF
20260705 02.07.38 T ExitOK   ID74:2   FINAL AI Worker Off
20260705 02.07.38 A OK       ID131.6  APP Stop AI Worker.Var Set, %AIWorkerTimerOn=0
20260705 02.07.38 A OK       ID131.7  APP Stop AI Worker.Flash, APP Stop AI Worker
20260705 02.07.38 A OK       ID131.8  APP Stop AI Worker.Var Set, %AIWProofEvent=APP_STOP_COMPLETE
20260705 02.07.38 A OK       ID131.9  APP Stop AI Worker.Var Set, %AIWProofStage=CONTROL
20260705 02.07.38 A OK       ID131.10 APP Stop AI Worker.Var Set, %AIWProofResult=PASS
20260705 02.07.38 A OK       ID131.11 APP Stop AI Worker.Var Set, %AIWProofRow=%AIWProofRow
20260705 02.07.38 A OK       ID131.12 APP Stop AI Worker.Var Set, %AIWProofSender=%AIWProofSender
20260705 02.07.38 A OK       ID131.13 APP Stop AI Worker.Var Set, %AIWProofStatusBefore=%AIWProofStatusBef..
20260705 02.07.38 A OK       ID131.14 APP Stop AI Worker.Var Set, %AIWProofStatusAfter=%AIWProofStatusAfter
20260705 02.07.38 A OK       ID131.15 APP Stop AI Worker.Var Set, %AIWProofDetails=APP Stop AI Worker..
20260705 02.07.38 A OK       ID131.16 APP Stop AI Worker.Var Set, %AIWProofError=Worker Stopped
20260705 02.07.38 T Running  ID224:3  AIW PROOF Log Event
20260705 02.07.38 A OK       ID131.17 APP Stop AI Worker.Perform Task, AIW PROOF Log Event
20260705 02.07.38 T ExitOK   ID131    APP Stop AI Worker
20260705 02.07.38 A OK       ID224:3.1 AIW PROOF Log Event.If
20260705 02.07.38 A OK       ID224:3.6 AIW PROOF Log Event.If
20260705 02.07.38 A OK       ID224:3.7 AIW PROOF Log Event.If
20260705 02.07.38 A OK       ID224:3.10 AIW PROOF Log Event.Var Add, %AIWProofLogIndex=1557
20260705 02.07.38 A OK       ID224:3.11 AIW PROOF Log Event.If
20260705 02.07.38 A OK       ID224:3.14 AIW PROOF Log Event.Var Set, %AIWProofTargetRow=1558
20260705 02.07.38 A OK       ID224:3.15 AIW PROOF Log Event.Var Set, %AIWProofTS=7-5-26 02.07
20260705 02.07.38 A OK       ID224:3.16 AIW PROOF Log Event.Var Set, %AIWProofData=7-5-26 02.07§V19I§..
20260705 02.07.39 A Err      ID224:3.17 AIW PROOF Log Event.com.joaomgcd.autosheets\n***\n*!&$*;com.joaomgcd.autosheets.activity.ActivityConfigUpdateCells, AIW PROOF Log Event
20260705 02.07.40 A OK       ID224:3.18 AIW PROOF Log Event.com.joaomgcd.autosheets\n***\n*!&$*;com.joaomgcd.autosheets.activity.ActivityConfigUpdateCells, AIW PROOF Log Event
20260705 02.07.40 A OK       ID224:3.19 AIW PROOF Log Event.Var Set, %AIWProofLastWrite=APP_STOP_COMPLETE ..
20260705 02.07.40 A OK       ID224:3.20 AIW PROOF Log Event.Var Set, %AIWProofWriteResult=OK
20260705 02.07.40 A OK       ID224:3.21 AIW PROOF Log Event.End If
20260705 02.07.40 T ExitOK   ID224:3  AIW PROOF Log Event
20260705 02.07.42 E Stop     ID0:0.0  TaskService
20260705 02.07.43 E Start    ID0:0.0  TaskService
20260705 02.07.45 T Running  ID147    APP Reset Locks
20260705 02.07.45 A OK       ID147.1  APP Reset Locks.Var Set, %AIWorkerBusy=0
20260705 02.07.45 A OK       ID147.2  APP Reset Locks.Var Set, %AIWProcessing=0
20260705 02.07.45 A OK       ID147.3  APP Reset Locks.Var Set, %AIWorkerLastError=RST-000 Locks rese..
20260705 02.07.45 A OK       ID147.4  APP Reset Locks.Var Set, %PSProcessingReady=0
20260705 02.07.45 A OK       ID147.5  APP Reset Locks.Var Set, %PSActiveRows=0
20260705 02.07.45 A OK       ID147.6  APP Reset Locks.Var Set, %PSReadWindow=0
20260705 02.07.45 A OK       ID147.7  APP Reset Locks.Var Set, %PSQueuePressure=0
20260705 02.07.45 A OK       ID147.8  APP Reset Locks.Var Set, %PSProcessThisRow=0
20260705 02.07.45 A OK       ID147.9  APP Reset Locks.Var Set, %PSMainIndex=0
20260705 02.07.45 A OK       ID147.10 APP Reset Locks.Var Set, %PSMainRow=0
20260705 02.07.45 A OK       ID147.11 APP Reset Locks.Var Set, %PSSenderValid=0
20260705 02.07.45 A OK       ID147.12 APP Reset Locks.Var Set, %PSGroupCount=0
20260705 02.07.45 A OK       ID147.13 APP Reset Locks.Var Set, %AIWSending=0
20260705 02.07.45 A OK       ID147.14 APP Reset Locks.Var Set, %PSValidWork=0
20260705 02.07.45 A OK       ID147.15 APP Reset Locks.Var Set, %PSHttpSuccess=0
20260705 02.07.45 A OK       ID147.16 APP Reset Locks.Var Set, %PSReplyValid=0
20260705 02.07.45 A OK       ID147.17 APP Reset Locks.Var Set, %PSMode=NONE
20260705 02.07.45 A OK       ID147.18 APP Reset Locks.Var Set, %PSMarkedProcessing=0
20260705 02.07.45 A OK       ID147.19 APP Reset Locks.Var Set, %PSBuildPromptOk=0
20260705 02.07.45 A OK       ID147.20 APP Reset Locks.Var Set, %PSValidWork=0
20260705 02.07.45 A OK       ID147.21 APP Reset Locks.Var Set, %PSSenderValid=0
20260705 02.07.45 A OK       ID147.22 APP Reset Locks.Var Set, %PSHttpCode=0
20260705 02.07.45 A OK       ID147.23 APP Reset Locks.Var Set, %PSSenderType=BAD
20260705 02.07.45 A OK       ID147.24 APP Reset Locks.Var Set, %AIWArchiving=0
20260705 02.07.45 A OK       ID147.25 APP Reset Locks.Var Clear, %PSReadRange=%PSReadRange
20260705 02.07.45 A OK       ID147.26 APP Reset Locks.Var Clear, %PSPressureMode=%PSPressureMode
20260705 02.07.45 A OK       ID147.27 APP Reset Locks.Var Clear, %PSSenderRaw=%PSSenderRaw
20260705 02.07.45 A OK       ID147.28 APP Reset Locks.Var Clear, %PSSenderKey=%PSSenderKey
20260705 02.07.45 A OK       ID147.29 APP Reset Locks.Var Clear, %PSNewestMessage=%PSNewestMessage
20260705 02.07.45 A OK       ID147.30 APP Reset Locks.Var Clear, %PSGroupPolicy=%PSGroupPolicy
20260705 02.07.45 A OK       ID147.31 APP Reset Locks.Var Clear, %PSIncludedIndexes=%PSIncludedIndexes
20260705 02.07.45 A OK       ID147.32 APP Reset Locks.Var Clear, %PSGroupMessages=%PSGroupMessages
20260705 02.07.45 A OK       ID147.33 APP Reset Locks.Var Clear, %PSDebug=%PSDebug
20260705 02.07.45 A OK       ID147.34 APP Reset Locks.Var Clear, %PSFailureStatus=%PSFailureStatus
20260705 02.07.45 A OK       ID147.35 APP Reset Locks.Var Set, %AIWRetrying=0
20260705 02.07.45 A OK       ID147.36 APP Reset Locks.Var Clear, %PSError=%PSError
20260705 02.07.45 A OK       ID147.37 APP Reset Locks.Var Clear, %PSReply=%PSReply
20260705 02.07.45 A OK       ID147.38 APP Reset Locks.Var Clear, %PSFinalStatus=%PSFinalStatus
20260705 02.07.45 A OK       ID147.39 APP Reset Locks.Var Clear, %CurrentMessageBlock=%CurrentMessageBlock
20260705 02.07.45 A OK       ID147.40 APP Reset Locks.Var Clear, %BrainRules=%BrainRules
20260705 02.07.45 A OK       ID147.41 APP Reset Locks.Var Clear, %PresetMatch=%PresetMatch
20260705 02.07.45 A OK       ID147.42 APP Reset Locks.Var Clear, %PresetReply=%PresetReply
20260705 02.07.45 A OK       ID147.43 APP Reset Locks.Var Clear, %ConversationHistory=%ConversationHistory
20260705 02.07.45 A OK       ID147.44 APP Reset Locks.Var Clear, %FinalPrompt=%FinalPrompt
20260705 02.07.45 A OK       ID147.45 APP Reset Locks.Var Clear, %SafeSystemPrompt=%SafeSystemPrompt
20260705 02.07.45 A OK       ID147.46 APP Reset Locks.Var Set, %AIWCompacting=0
20260705 02.07.45 A OK       ID147.47 APP Reset Locks.Var Clear, %SafeUserPrompt=%SafeUserPrompt
20260705 02.07.45 A OK       ID147.48 APP Reset Locks.Var Clear, %PSSenderKey=%PSSenderKey
