"File","SHA256","Bytes"
"CURRENT_BUILD_STATUS.md","C12DDE41948301D966852A47CCA1561F69AF2A6815E2A06FC7CFB83D5EB3CB57","2707"
"FROZEN_LOGIC_REGISTER.md","1304BE2DA43F1750598DDC59D3F0A230D13E402AB2B4358F2C5FEBA36FFEC7C4","2997"
"GIT_PROOF_REPORT_20260705.md","393E1AEB582580CB89C4632BFF017B52BB77DFD4C555D7EA33C120332907C7F0","42633"
"NEXT_GROUPED_PATCH_PLAN.md","9AC1DD84D37206A7A955C2D95775503F2282F218BAE85A8BD762B9BA539FF959","2065"
"PATCH_SCOPE_REGISTER.md","5DF6E099BE44F5436A14442168DCE8998EF04FB3F4107777F09C9B8783E2AC8E","1794"
"PHONE_PROOF_SEQUENCE.md","D860E1FCF1865D7003137A8E1FDEB4DF8CFE49F267A745C992AC072338F3A178","1448"
"PROOF_LEDGER.md","1E68AB3859B3108011B79778317B6CC5FEAC193065AA89410E97F50148CF44B4","6464"
"README_FIRST_FOR_CHATGPT.md","C0792087461B8BDF6AB961DF15EC6967BB9A9D3A50D59D5FB253D34FB3154899","1690"
"RELEASE_BLOCKER_REGISTER.md","147D9DA6EC2337A656E3EAB18A24D4E2797D7BA0480CA6E322CF6D450BF2B08D","1936"
"RELEASE_DEPENDENCY_GRAPH.md","B5FA9F5F8886F491622B6818BA4F7B48FB0C7FE8A83CBEFD266FFC9C3CDABAE2","1358"
"SPEED_TUNING_REGISTER.md","35A1CFFECFBA80F5D37FA707A7DDCE00FD34F7FD4A858B54D865C98D172FFC9B","1204"
"TONIGHT_COMPLETION_PLAN.md","A5734FDBC1633B17800635F3E9B48CC62122D2E4DD2491CC407C6458E9E6CAB0","1046"
